,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Marcus Rashford,10.0,eng ENG,FW,24-356,79,22,22,0,0,0,0,0,0,0,0,0,0,13,0,0
1,Anthony Elanga,36.0,se SWE,LW,20-178,11,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Jadon Sancho,25.0,eng ENG,LM,22-211,51,21,21,0,0,0,0,1,0,0,0,0,0,13,0,2
3,Fred,17.0,br BRA,"AM,DM",29-231,39,21,20,1,0,0,0,0,0,0,0,0,0,15,0,0
4,Christian Eriksen,14.0,dk DEN,"CM,DM",30-250,79,51,43,7,1,0,1,2,2,4,1,0,0,39,1,0
5,Scott McTominay,39.0,sct SCO,AM,25-318,11,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
6,Bruno Fernandes,8.0,pt POR,"CM,LW,FW",28-044,90,49,47,2,1,0,1,3,0,0,0,0,0,33,0,0
7,Antony,21.0,br BRA,"RM,RW",22-240,90,39,38,1,0,0,0,1,1,0,0,0,0,35,0,0
8,Casemiro,18.0,br BRA,DM,30-241,90,56,54,2,2,0,1,0,0,0,0,0,0,46,0,2
9,Luke Shaw,23.0,eng ENG,LB,27-102,90,69,56,12,2,0,0,1,10,0,0,0,0,59,1,0
10,Lisandro Martínez,6.0,ar ARG,CB,24-277,90,52,47,5,1,0,0,0,0,0,0,0,0,46,0,0
11,Raphaël Varane,19.0,fr FRA,CB,29-180,59,22,21,0,0,0,0,0,0,0,0,0,0,18,1,0
12,Victor Lindelöf,2.0,se SWE,CB,28-097,31,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
13,Diogo Dalot,20.0,pt POR,RB,23-218,90,56,44,12,0,0,1,1,12,0,0,0,0,39,0,3
14,David de Gea,1.0,es ESP,GK,31-349,90,27,21,6,2,0,0,0,0,0,0,0,0,19,0,0
15,15 Players,,,,,990,505,454,48,9,0,4,9,25,4,1,0,0,390,3,7
