,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Taiwo Awoniyi,9.0,ng NGA,FW,25-002,71,0,0,0,1,3,2,1,0,0,0,0,0,3,0,6,0.0
1,Sam Surridge,16.0,eng ENG,FW,24-017,19,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
2,Brennan Johnson,20.0,wls WAL,FW,21-083,90,1,0,0,1,0,1,4,0,0,0,0,0,4,0,4,0.0
3,Jesse Lingard,11.0,eng ENG,AM,29-242,90,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,
4,Lewis O'Brien,14.0,eng ENG,CM,23-304,90,0,0,0,1,1,0,2,1,3,0,0,0,12,0,0,
5,Orel Mangala,5.0,be BEL,CM,24-149,83,0,0,0,2,1,0,2,1,0,0,0,0,1,1,1,50.0
6,Cafú,18.0,pt POR,CM,29-169,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Harry Toffolo,15.0,eng ENG,WB,26-360,90,0,0,0,0,0,0,1,1,0,0,0,0,6,2,3,40.0
8,Neco Williams,7.0,wls WAL,WB,21-123,90,0,0,0,0,1,0,9,1,3,0,0,0,6,0,0,
9,Scott McKenna,26.0,sct SCO,CB,25-275,90,1,0,0,2,1,0,0,1,0,0,1,0,2,5,1,83.3
10,Moussa Niakhate,19.0,sn SEN,CB,26-159,78,0,0,0,2,0,0,0,0,0,0,0,0,2,7,4,63.6
11,Steve Cook,3.0,eng ENG,CB,31-117,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
12,Joe Worrall,4.0,eng ENG,CB,25-216,90,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,50.0
13,Dean Henderson,1.0,eng ENG,GK,25-155,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,4,0,0,10,10,3,20,5,8,0,1,0,45,18,20,47.4
