,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Chris Wood,39.0,nz NZL,FW,31-060,72,15,15,0,0,0,0,0,0,0,0,0,0,8,0,0
1,Sam Surridge,16.0,eng ENG,FW,24-192,18,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Brennan Johnson,20.0,wls WAL,"RW,FW",21-258,90,9,9,0,0,0,0,3,0,0,0,0,0,4,0,0
3,Morgan Gibbs-White,10.0,eng ENG,AM,23-009,90,19,16,3,2,1,0,2,0,0,0,0,0,11,0,0
4,Orel Mangala,5.0,be BEL,LM,24-324,45,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1
5,Serge Aurier,24.0,ci CIV,RB,30-043,45,26,18,8,1,0,0,0,7,0,0,0,0,12,0,0
6,Remo Freuler,23.0,ch SUI,"DM,CM",30-296,90,36,36,0,0,0,0,0,0,0,0,0,0,25,0,0
7,Danilo,28.0,br BRA,RM,21-282,45,15,15,0,0,0,0,0,0,0,0,0,0,6,0,0
8,Jack Colback,8.0,eng ENG,DM,33-104,45,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
9,Renan Lodi,32.0,br BRA,LB,24-303,90,31,23,8,2,0,0,2,6,0,0,0,0,14,0,3
10,Scott McKenna,26.0,sct SCO,CB,26-085,90,23,21,2,2,0,1,0,0,0,0,0,0,16,0,1
11,Willy Boly,30.0,ci CIV,CB,32-002,90,22,22,0,0,0,0,0,0,0,0,0,0,13,0,0
12,Neco Williams,7.0,wls WAL,"RB,LW",21-298,89,29,20,7,0,0,0,1,7,0,0,0,0,11,2,2
13,André Ayew,34.0,gh GHA,LW,33-050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Keylor Navas,12.0,cr CRC,GK,36-052,90,36,14,22,10,0,0,0,0,0,0,0,0,15,0,0
15,15 Players,,,,,990,283,231,50,17,1,1,8,20,0,0,0,0,147,2,7
