,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Chris Wood,39.0,nz NZL,FW,31-060,72,23,1,3,17,4,2,23,1,0,0.0,1,100.0,10,61,1,0,0,0,5,1,18,3
1,Sam Surridge,16.0,eng ENG,FW,24-192,18,10,0,0,4,6,1,10,1,0,0.0,0,0.0,4,25,14,1,0,1,1,0,8,1
2,Brennan Johnson,20.0,wls WAL,"RW,FW",21-258,90,28,0,8,8,13,1,28,6,1,16.7,3,50.0,12,87,36,1,1,0,3,1,9,3
3,Morgan Gibbs-White,10.0,eng ENG,AM,23-009,90,42,0,8,17,18,1,42,3,2,66.7,1,33.3,22,98,14,0,1,0,11,5,23,2
4,Orel Mangala,5.0,be BEL,LM,24-324,45,21,0,5,11,5,0,21,4,4,100.0,0,0.0,8,65,43,1,1,0,2,0,11,0
5,Serge Aurier,24.0,ci CIV,RB,30-043,45,38,3,14,20,6,0,38,1,0,0.0,1,100.0,11,84,44,0,0,0,3,1,4,2
6,Remo Freuler,23.0,ch SUI,"DM,CM",30-296,90,49,3,26,14,9,0,49,0,0,,0,,10,44,9,0,0,0,2,0,13,0
7,Danilo,28.0,br BRA,RM,21-282,45,24,1,7,14,3,0,24,1,1,100.0,0,0.0,9,21,11,0,0,0,3,1,10,0
8,Jack Colback,8.0,eng ENG,DM,33-104,45,10,0,6,3,1,0,10,0,0,,0,,2,21,0,0,0,0,0,0,1,0
9,Renan Lodi,32.0,br BRA,LB,24-303,90,41,2,24,12,6,0,41,1,0,0.0,0,0.0,17,101,47,0,0,0,1,2,16,2
10,Scott McKenna,26.0,sct SCO,CB,26-085,90,32,7,26,6,0,0,32,0,0,,0,,11,74,46,0,0,0,0,0,6,0
11,Willy Boly,30.0,ci CIV,CB,32-002,90,38,12,29,10,0,0,38,2,1,50.0,0,0.0,9,58,43,0,0,0,0,0,8,0
12,Neco Williams,7.0,wls WAL,"RB,LW",21-298,89,46,6,21,14,12,1,46,2,0,0.0,2,100.0,15,141,97,3,1,1,2,0,14,2
13,André Ayew,34.0,gh GHA,LW,33-050,1,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
14,Keylor Navas,12.0,cr CRC,GK,36-052,90,39,33,39,0,0,0,39,0,0,,0,,12,117,53,0,0,0,0,0,4,0
15,15 Players,,,,,990,442,69,217,150,83,6,442,22,9,40.9,8,36.4,152,997,458,6,4,2,33,11,145,15
