,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Chris Wood,39.0,nz NZL,FW,31-066,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
1,André Ayew,34.0,gh GHA,FW,33-056,28,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
2,Gustavo Scarpa,31.0,br BRA,LW,29-037,55,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,2,0
3,Emmanuel Dennis,25.0,ng NGA,LW,25-088,35,2,2,1,0,1,0,2,0.0,2,0,0,0,0,2,0,0
4,Brennan Johnson,20.0,wls WAL,RW,21-264,90,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
5,Morgan Gibbs-White,10.0,eng ENG,AM,23-015,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
6,Orel Mangala,5.0,be BEL,DM,24-330,55,0,0,0,0,0,0,0,,0,1,1,0,3,3,1,0
7,Jonjo Shelvey,6.0,eng ENG,DM,30-349,35,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
8,Remo Freuler,23.0,ch SUI,DM,30-302,90,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,1,0
9,Renan Lodi,32.0,br BRA,LB,24-309,90,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,4,0
10,Scott McKenna,26.0,sct SCO,CB,26-091,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
11,Joe Worrall,4.0,eng ENG,CB,26-032,84,2,2,1,1,0,1,3,33.3,2,1,0,1,0,2,3,0
12,Willy Boly,30.0,ci CIV,CB,32-008,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
13,Felipe,38.0,br BRA,CB,33-271,84,0,0,0,0,0,0,2,0.0,2,0,0,0,5,5,5,0
14,Serge Aurier,24.0,ci CIV,RB,30-049,90,2,2,2,0,0,0,2,0.0,2,1,1,0,2,4,1,0
15,Keylor Navas,12.0,cr CRC,GK,36-058,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,10,8,5,4,1,4,22,18.2,18,8,2,6,10,20,20,0
