,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Taiwo Awoniyi,9.0,ng NGA,FW,25-274,80,5,12,41.7,34,0,3,5,60.0,0,3,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
1,Brennan Johnson,20.0,wls WAL,FW,21-355,10,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
2,Danilo,28.0,br BRA,AM,22-014,89,2,10,20.0,41,7,1,4,25.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0
3,Harry Toffolo,15.0,eng ENG,AM,27-267,1,1,1,100.0,19,18,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Morgan Gibbs-White,10.0,eng ENG,AM,23-106,90,12,24,50.0,203,45,6,6,100.0,4,7,57.1,2,8,25.0,0,0.1,0.1,1,0,0,0,0
5,Ryan Yates,22.0,eng ENG,CM,25-173,84,15,22,68.2,267,68,5,7,71.4,9,12,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1
6,Cheikhou Kouyaté,21.0,sn SEN,CM,33-143,6,1,1,100.0,11,11,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
7,Orel Mangala,5.0,be BEL,CM,25-056,90,20,23,87.0,315,148,9,11,81.8,8,9,88.9,2,2,100.0,1,0.3,0.3,1,3,1,0,6
8,Renan Lodi,32.0,br BRA,WB,25-035,90,14,23,60.9,278,189,6,7,85.7,5,6,83.3,3,10,30.0,1,0.5,0.4,4,0,1,1,1
9,Serge Aurier,24.0,ci CIV,WB,30-140,90,15,26,57.7,276,134,7,9,77.8,6,8,75.0,2,7,28.6,0,0.0,0.0,0,2,0,0,2
10,Moussa Niakhate,19.0,sn SEN,CB,27-066,90,20,36,55.6,359,185,9,11,81.8,8,17,47.1,3,7,42.9,0,0.0,0.0,0,2,0,0,2
11,Felipe,38.0,br BRA,CB,33-362,90,15,19,78.9,288,91,6,8,75.0,5,5,100.0,3,5,60.0,0,0.3,0.0,1,2,0,0,2
12,Joe Worrall,4.0,eng ENG,CB,26-123,90,19,22,86.4,340,215,7,9,77.8,11,12,91.7,1,1,100.0,0,0.0,0.0,0,1,0,0,1
13,Keylor Navas,12.0,cr CRC,GK,36-149,90,8,29,27.6,236,188,0,0,,6,6,100.0,2,23,8.7,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,147,249,59.0,2667,1299,60,79,75.9,64,88,72.7,19,66,28.8,2,1.1,0.8,7,11,2,1,15
