,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Kamaldeen Sulemana,20.0,gh GHA,FW,21-052,68,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
1,Sekou Mara,18.0,fr FRA,FW,20-252,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Carlos Alcaraz,26.0,ar ARG,FW,20-129,68,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
3,Moussa Djenepo,19.0,ml MLI,"AM,LW",24-297,22,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
4,Mohamed Elyounoussi,24.0,no NOR,LM,28-247,60,3,3,0,3,0,1,3,33.3,2,2,0,2,1,4,0,0
5,Stuart Armstrong,17.0,sct SCO,"AM,LM,CM",31-009,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
6,Roméo Lavia,45.0,be BEL,"CM,RM",19-092,79,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0
7,Ibrahima Diallo,27.0,fr FRA,"CM,RM",24-031,11,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
8,James Ward-Prowse,8.0,eng ENG,CM,28-158,90,2,2,2,0,0,0,0,,0,2,1,1,0,2,4,0
9,Theo Walcott,32.0,eng ENG,"RM,RW",34-023,79,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,1,0
10,Romain Perraud,15.0,fr FRA,WB,25-198,11,1,0,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
11,Kyle Walker-Peters,2.0,eng ENG,"LB,WB",25-360,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
12,Armel Bella Kotchap,37.0,de GER,CB,21-118,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
13,Jan Bednarek,35.0,pl POL,CB,26-361,90,1,1,1,0,0,1,1,100.0,0,3,2,1,2,3,7,0
14,Ainsley Maitland-Niles,3.0,eng ENG,"RB,CB",25-222,90,2,1,2,0,0,1,2,50.0,1,1,0,1,1,3,4,0
15,Gavin Bazunu,31.0,ie IRL,GK,21-047,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,11,9,8,3,0,4,12,33.3,8,16,3,13,8,19,24,0
