,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Harry Kane,10.0,eng ENG,FW,29-051,90,21,31,67.7,410,128,10,15,66.7,5,6,83.3,4,6,66.7,1,0.3,0.0,3,2,0,0,5
1,Richarlison,9.0,br BRA,AM,25-130,58,12,16,75.0,270,80,5,6,83.3,5,6,83.3,2,2,100.0,0,0.1,0.1,1,3,1,0,3
2,Son Heung-min,7.0,kr KOR,AM,30-071,32,5,8,62.5,57,21,3,5,60.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Dejan Kulusevski,21.0,se SWE,AM,22-145,69,20,23,87.0,278,83,13,14,92.9,6,8,75.0,1,1,100.0,1,0.3,0.4,1,1,2,1,3
4,Yves Bissouma,38.0,ml MLI,AM,26-018,21,16,19,84.2,177,42,13,14,92.9,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0
5,Rodrigo Bentancur,30.0,uy URU,CM,25-084,90,40,45,88.9,656,218,19,20,95.0,18,21,85.7,2,3,66.7,1,0.3,0.0,2,3,0,0,5
6,Pierre Højbjerg,5.0,dk DEN,CM,27-043,90,61,66,92.4,1055,337,34,36,94.4,19,20,95.0,7,7,100.0,1,0.5,0.1,2,3,1,0,4
7,Ryan Sessegnon,19.0,eng ENG,WB,22-122,90,32,48,66.7,427,113,20,27,74.1,8,13,61.5,2,3,66.7,0,0.0,0.0,0,1,1,0,2
8,Ivan Perišić,14.0,hr CRO,WB,33-227,54,29,38,76.3,529,213,9,12,75.0,15,18,83.3,4,6,66.7,1,0.3,0.3,3,2,1,1,3
9,Emerson,12.0,br BRA,WB,23-246,36,24,29,82.8,299,50,11,12,91.7,9,10,90.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
10,Clément Lenglet,34.0,fr FRA,CB,27-092,90,38,43,88.4,599,268,20,20,100.0,17,18,94.4,1,5,20.0,0,0.0,0.0,0,2,0,0,2
11,Eric Dier,15.0,eng ENG,CB,28-245,90,40,52,76.9,946,361,9,10,90.0,22,27,81.5,9,15,60.0,0,0.0,0.0,0,3,0,0,2
12,Davinson Sánchez,6.0,co COL,CB,26-097,58,33,37,89.2,624,257,8,9,88.9,21,22,95.5,3,4,75.0,0,0.0,0.0,0,2,0,0,2
13,Cristian Romero,17.0,ar ARG,CB,24-143,32,23,24,95.8,426,132,7,7,100.0,13,13,100.0,2,3,66.7,0,0.0,0.0,0,0,0,0,0
14,Hugo Lloris,1.0,fr FRA,GK,35-265,90,37,43,86.0,1050,764,9,9,100.0,14,14,100.0,14,20,70.0,0,0.0,0.0,0,1,0,0,0
15,15 Players,,,,,990,431,522,82.6,7803,3067,190,216,88.0,176,200,88.0,51,76,67.1,5,1.7,1.0,12,24,6,2,31
