,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Gianluca Scamacca,7.0,it ITA,FW,23-309,45,2,1,1,0,1,1,1,100.0,0,1,0,1,0,2,0,0
1,Michail Antonio,9.0,jm JAM,FW,32-223,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
2,Saïd Benrahma,22.0,dz ALG,LW,27-088,63,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0
3,Manuel Lanzini,10.0,ar ARG,LW,29-264,27,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
4,Jarrod Bowen,20.0,eng ENG,RW,25-321,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
5,Lucas Paquetá,11.0,br BRA,AM,25-071,89,6,5,2,4,0,1,2,50.0,1,3,2,1,0,6,0,0
6,Pablo Fornals,8.0,es ESP,AM,26-257,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Declan Rice,41.0,eng ENG,DM,23-296,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0
8,Tomáš Souček,28.0,cz CZE,DM,27-252,63,1,0,0,1,0,0,1,0.0,1,2,1,1,4,5,2,0
9,Flynn Downes,12.0,eng ENG,DM,23-290,27,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
10,Aaron Cresswell,3.0,eng ENG,LB,32-326,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,2,0
11,Kurt Zouma,4.0,fr FRA,CB,28-010,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
12,Craig Dawson,15.0,eng ENG,CB,32-184,90,3,2,3,0,0,2,2,100.0,0,2,2,0,2,5,5,0
13,Thilo Kehrer,24.0,de GER,RB,26-046,90,2,0,1,1,0,1,4,25.0,3,2,1,1,1,3,0,1
14,Łukasz Fabiański,1.0,pl POL,GK,37-202,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
15,15 Players,,,,,990,16,9,9,6,1,7,15,46.7,8,13,7,6,9,25,15,1
