,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Danny Ings,18.0,eng ENG,FW,30-295,82,18,18,0,0,0,0,0,0,0,0,0,0,9,0,3
1,Jarrod Bowen,20.0,eng ENG,RW,26-145,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Maxwel Cornet,14.0,ci CIV,LW,26-229,58,23,22,0,0,0,0,2,0,0,0,0,0,15,1,2
3,Saïd Benrahma,22.0,dz ALG,"LM,LW",27-277,32,18,17,1,0,0,0,4,0,1,1,0,0,10,0,3
4,Pablo Fornals,8.0,es ESP,RW,27-081,57,30,26,4,0,1,0,1,0,1,1,0,0,24,0,0
5,Divin Mubama,72.0,eng ENG,FW,18-201,33,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
6,Manuel Lanzini,10.0,ar ARG,"AM,RM",30-088,90,51,51,0,0,0,0,1,0,0,0,0,0,43,0,2
7,Flynn Downes,12.0,eng ENG,"DM,CM",24-114,90,49,48,0,0,0,0,0,0,0,0,0,0,45,1,0
8,Tomáš Souček,28.0,cz CZE,DM,28-076,57,36,36,0,0,0,0,1,0,0,0,0,0,29,0,0
9,Declan Rice,41.0,eng ENG,"CM,DM",24-120,33,29,29,0,0,0,0,1,0,0,0,0,0,26,0,0
10,Emerson Palmieri,33.0,it ITA,LB,28-284,90,60,45,15,1,0,0,6,11,3,0,3,0,44,0,2
11,Angelo Ogbonna,21.0,it ITA,CB,34-356,90,34,32,2,0,0,0,0,0,0,0,0,0,30,0,0
12,Nayef Aguerd,27.0,ma MAR,CB,27-045,90,52,47,5,4,0,2,0,0,0,0,0,0,41,0,0
13,Ben Johnson,2.0,eng ENG,RB,23-110,90,54,47,7,0,0,1,2,7,0,0,0,0,40,0,1
14,Łukasz Fabiański,1.0,pl POL,GK,38-026,90,31,18,12,3,0,0,0,0,0,0,0,0,16,1,0
15,15 Players,,,,,990,492,443,46,8,1,3,18,18,5,2,3,0,376,3,13
