,team_code,Opponent_code,season,Round_code,Venue_code,Referee_code,Formation_code,Day_code,Result_code,GF,GF_rolling,GA,GA_rolling
3,0,5,2010,32,1,41,19,5,2,4,3.0,1,0.6666666666666666
4,0,31,2010,33,0,35,12,5,0,1,4.0,1,0.6666666666666666
5,0,35,2010,34,1,25,12,5,1,2,2.3333333333333335,3,1.0
6,0,11,2010,35,0,27,19,6,1,0,2.3333333333333335,2,1.6666666666666667
7,0,2,2010,36,1,24,19,5,2,2,1.0,1,2.0
8,0,20,2010,37,0,21,19,6,2,3,1.3333333333333333,0,2.0
9,0,36,2010,1,1,28,12,5,2,1,1.6666666666666667,0,1.0
10,0,23,2010,2,1,27,12,6,1,0,2.0,1,0.3333333333333333
11,0,38,2010,3,0,22,12,2,2,2,1.3333333333333333,0,0.3333333333333333
12,0,13,2010,4,0,11,16,6,2,2,1.0,1,0.3333333333333333
13,0,33,2010,5,1,35,12,5,1,2,1.3333333333333333,3,0.6666666666666666
14,0,1,2010,6,0,21,12,5,2,4,2.0,2,1.3333333333333333
15,0,14,2010,7,1,4,12,5,2,2,2.6666666666666665,1,2.0
16,0,21,2010,8,0,11,12,0,1,0,2.6666666666666665,1,2.0
17,0,11,2010,10,1,21,19,0,2,3,2.0,1,1.3333333333333333
18,0,37,2010,12,0,20,12,2,0,2,1.6666666666666667,2,1.0
19,0,2,2010,13,0,34,12,5,2,3,1.6666666666666667,0,1.3333333333333333
20,0,20,2010,14,1,28,12,2,0,0,2.6666666666666665,0,1.0
21,0,36,2010,15,0,0,12,5,2,3,1.6666666666666667,0,0.6666666666666666
22,0,37,2010,16,1,18,19,5,2,3,2.0,0,0.0
23,0,13,2010,17,1,19,12,1,2,2,2.0,1,0.0
24,0,23,2010,18,0,35,12,5,0,4,2.6666666666666665,4,0.3333333333333333
25,0,38,2010,19,1,4,12,5,2,2,3.0,0,1.6666666666666667
26,0,30,2010,9,1,34,12,2,2,1,2.6666666666666665,0,1.6666666666666667
27,0,31,2010,21,1,2,12,5,0,0,2.3333333333333335,0,1.3333333333333333
28,0,35,2010,23,0,41,12,5,0,2,1.0,2,0.0
29,0,3,2010,24,1,35,12,5,0,0,1.0,0,0.6666666666666666
30,0,4,2010,25,0,19,12,6,2,3,0.6666666666666666,1,0.6666666666666666
31,0,19,2010,26,1,0,12,6,0,1,1.6666666666666667,1,1.0
32,0,33,2010,20,0,24,12,2,0,3,1.3333333333333333,3,0.6666666666666666
33,0,5,2010,27,0,28,12,6,1,1,2.3333333333333335,2,1.6666666666666667
34,0,21,2010,28,1,4,16,6,2,1,1.6666666666666667,0,2.0
35,0,30,2010,29,0,22,12,6,1,1,1.6666666666666667,3,1.6666666666666667
36,0,1,2010,30,1,25,12,6,1,1,1.0,2,1.6666666666666667
37,0,14,2010,31,0,24,12,6,0,2,1.0,2,1.6666666666666667
760,0,23,2011,0,0,34,12,5,0,0,1.3333333333333333,0,2.3333333333333335
761,0,19,2011,11,1,24,12,5,1,0,1.0,2,1.3333333333333333
762,0,21,2011,22,0,11,12,6,1,2,0.6666666666666666,8,1.3333333333333333
763,0,32,2011,32,1,41,12,5,2,1,0.6666666666666666,0,3.3333333333333335
764,0,3,2011,33,0,0,12,5,1,3,1.0,4,3.3333333333333335
765,0,5,2011,34,1,21,12,5,2,3,2.0,0,4.0
766,0,33,2011,35,0,27,12,6,1,1,2.3333333333333335,2,1.3333333333333333
767,0,31,2011,36,1,11,12,6,2,2,2.3333333333333335,1,2.0
768,0,30,2011,37,1,19,12,6,2,3,2.0,1,1.0
769,0,11,2011,1,0,0,12,5,2,5,2.0,3,1.3333333333333333
770,0,35,2011,2,1,25,12,5,2,3,3.3333333333333335,0,1.6666666666666667
771,0,24,2011,3,0,35,12,5,2,2,3.6666666666666665,1,1.3333333333333333
772,0,14,2011,4,1,27,12,5,0,1,3.3333333333333335,1,1.3333333333333333
773,0,37,2011,5,0,21,12,5,2,4,2.0,0,0.6666666666666666
774,0,13,2011,6,1,11,12,5,2,1,2.3333333333333335,0,0.6666666666666666
775,0,20,2011,7,0,35,12,6,1,0,2.0,1,0.3333333333333333
776,0,1,2011,8,0,14,12,2,2,2,1.6666666666666667,1,0.3333333333333333
777,0,38,2011,9,1,41,12,1,0,1,1.0,1,0.6666666666666666
778,0,26,2011,10,1,24,12,5,2,1,1.0,0,1.0
779,0,14,2011,12,0,20,12,0,1,1,1.3333333333333333,2,0.6666666666666666
780,0,32,2011,13,0,25,12,6,1,2,1.0,3,1.0
781,0,21,2011,14,1,27,12,6,1,1,1.3333333333333333,2,1.6666666666666667
782,0,5,2011,15,0,4,12,2,0,0,1.3333333333333333,0,2.3333333333333335
783,0,3,2011,16,1,0,12,5,2,7,1.0,1,1.6666666666666667
784,0,31,2011,17,0,29,12,5,2,2,2.6666666666666665,1,1.0
785,0,33,2011,18,1,27,12,6,2,5,3.0,2,0.6666666666666666
786,0,19,2011,19,0,22,12,5,2,2,4.666666666666667,1,1.3333333333333333
787,0,23,2011,20,1,11,12,0,2,2,3.0,1,1.3333333333333333
788,0,13,2011,21,0,19,12,2,2,1,3.0,0,1.3333333333333333
789,0,1,2011,23,1,35,12,5,2,3,1.6666666666666667,0,0.6666666666666666
790,0,26,2011,24,0,27,12,5,1,1,2.0,2,0.3333333333333333
791,0,20,2011,25,1,24,12,6,2,1,1.6666666666666667,0,0.6666666666666666
792,0,38,2011,26,0,29,12,2,2,3,1.6666666666666667,0,0.6666666666666666
793,0,37,2011,27,1,0,12,0,1,1,1.6666666666666667,2,0.6666666666666666
794,0,11,2011,28,1,27,12,5,0,0,1.6666666666666667,0,0.6666666666666666
795,0,30,2011,29,0,4,12,5,0,1,1.3333333333333333,1,0.6666666666666666
796,0,24,2011,30,1,2,12,5,0,3,0.6666666666666666,3,1.0
797,0,35,2011,31,0,28,12,6,2,3,1.3333333333333333,2,1.3333333333333333
1520,0,31,2012,0,1,4,12,5,0,0,2.3333333333333335,0,2.0
1521,0,30,2012,11,0,19,12,6,0,0,2.0,0,1.6666666666666667
1522,0,19,2012,22,0,11,12,6,2,2,1.0,0,0.6666666666666666
1523,0,29,2012,32,1,18,12,5,2,6,0.6666666666666666,1,0.0
1524,0,20,2012,33,0,27,12,6,0,1,2.6666666666666665,1,0.3333333333333333
1525,0,11,2012,34,1,24,12,5,1,1,3.0,2,0.6666666666666666
1526,0,36,2012,35,0,35,12,5,2,3,2.6666666666666665,1,1.3333333333333333
1527,0,24,2012,36,0,20,12,5,1,0,1.6666666666666667,1,1.3333333333333333
1528,0,26,2012,37,1,2,12,5,2,1,1.3333333333333333,0,1.3333333333333333
1529,0,21,2012,1,0,27,12,5,1,1,1.3333333333333333,2,0.6666666666666666
1530,0,14,2012,2,1,35,12,5,0,3,0.6666666666666666,3,1.0
1531,0,33,2012,3,1,11,12,5,2,5,1.6666666666666667,2,1.6666666666666667
1532,0,1,2012,4,0,19,12,5,0,0,3.0,0,2.3333333333333335
1533,0,13,2012,5,0,25,12,2,0,1,2.6666666666666665,1,1.6666666666666667
1534,0,32,2012,6,1,21,12,5,1,0,2.0,2,1.0
1535,0,35,2012,7,1,28,12,5,2,2,0.3333333333333333,0,1.0
1536,0,27,2012,8,0,2,12,0,2,5,1.0,2,1.0
1537,0,37,2012,9,0,14,12,5,2,1,2.3333333333333335,0,1.3333333333333333
1538,0,23,2012,12,1,4,12,5,2,7,2.6666666666666665,3,0.6666666666666666
1539,0,29,2012,13,0,20,12,1,0,1,4.333333333333333,1,1.6666666666666667
1540,0,20,2012,14,1,27,12,6,1,0,3.0,2,1.3333333333333333
1541,0,11,2012,15,0,24,12,6,1,1,2.6666666666666665,2,2.0
1542,0,36,2012,10,1,0,12,2,2,5,0.6666666666666666,1,1.6666666666666667
